Player_id,Short_name,Player_position,Nationality_id,Club_team_id,Overall
188545,R. Lewandowski,ST,37,241,88
247246,K. Thuram,"CM, CDM",18,45,81
181458,I. Perišić,"RW, LW, RM",10,247,81
243014,B. Mbeumo,"RW, RM, ST",103,11,85
216393,Y. Tielemans,"CM, CDM, CAM",7,2,85
195479,J. Tavernier,"RB, RM",14,86,77
256790,J. Musiala,"CAM, LM, CM, ST",21,21,88
239231,Marc Cucurella,LB,45,5,84
223959,L. Torreira,"CDM, CM",60,325,83
212811,M. Lemina,"CDM, CM",115,325,79
177003,L. Modrić,"CM, CAM, CDM",10,47,83
230938,F. Kessié,"CDM, CM, CB",108,112387,80
226226,G. Lo Celso,"CAM, CM, CDM",52,449,82
231913,F. Aursnes,"CM, RB, RM, CAM",36,234,80
247394,D. Kulusevski,"CM, RW, CAM",46,18,83
218667,Bernardo Silva,"CM, RM, CDM, CAM",38,10,84
256630,F. Wirtz,"CAM, ST, CM",21,9,89
238744,W. McKennie,"CM, CDM, CAM",95,45,78
213666,R. Loftus-Cheek,"CM, CAM",14,47,80
202648,Sergi Darder,"LM, CM, CDM, LW",45,453,81
219683,C. Tolisso,"CM, CDM, CAM",18,66,81
216352,M. Brozović,"CDM, CM",10,112139,81
251479,M. De Cuyper,"LB, RB, LM",7,1808,80
251806,Q. Timber,"CM, CDM, CAM",34,246,80
211093,C. McGregor,"CDM, CM",42,78,79
236499,Douglas Luiz,"CM, CDM",54,14,80
215590,Ayoze,"ST, CAM",45,483,83
234396,A. Davies,"LB, LM",70,21,84
239807,D. Frattesi,CM,27,44,81
227890,Nuno Santos,"LM, LB, LW",38,237,79
236496,M. Guendouzi,"CDM, CM",18,46,82
256079,M. Caicedo,"CDM, CM",57,5,87
251517,J. Gvardiol,"LB, CB, LM",10,10,84
227236,A. Zambo Anguissa,"CM, CAM",103,48,82
186345,K. Trippier,"RB, RM",14,13,80
233927,Lucas Paquetá,"CM, LM, CAM",54,19,80
270571,Gabriel Sara,"CM, CAM, RM",54,325,80
244669,M. Hjulmand,"CDM, CM",13,237,83
232665,M. Arambarri,"CM, CDM",60,1860,80
246321,D. Maeda,"LW, ST, RW, LM",163,78,79
239085,E. Haaland,ST,36,10,90
226851,B. Pavard,CB,18,219,84
254243,E. Anderson,"CDM, CM",14,14,80
181291,G. Wijnaldum,"CAM, ST, CM",34,112096,78
192638,Marcos Alonso,"CB, LB",45,450,79
228813,Aleix García,"CM, CDM",45,32,83
257279,Álex Baena,"LM, ST, LW",45,240,84
256853,M. Tillman,"CAM, LW, CM",95,32,82
231521,E. Palacios,"CM, CDM",52,32,84
251377,R. Zalazar,"CAM, CM, LM",60,1896,79
204963,Carvajal,"RB, RM",45,243,85
193747,Koke,"CM, CDM",45,240,81
242280,L. Ferguson,"CM, CDM, CAM",42,189,78
262881,R. Ríos,"CM, CDM",56,234,79
217870,G. Di Lorenzo,"RB, CB, RM",27,48,83
257534,C. Palmer,"CAM, RM, ST",14,5,87
234060,Y. Herrera,"CM, CDM, CAM",61,457,81
261865,Miguel Gutiérrez,"LB, LM",45,48,81
220651,Angeliño,"LB, LM",45,52,79
266866,Éderson,CM,54,39,82
206511,M. Arnold,"CDM, CM",21,175,79
236015,M. Gibbs-White,"CAM, ST",14,14,82
222077,M. Locatelli,"CDM, CM",27,45,84
233096,D. Dumfries,"RB, RM",34,44,84
200458,L. Digne,"LB, LM",18,2,80
212242,R. Andrich,"CDM, CM, CB",21,32,81
241637,A. Tchouaméni,"CDM, CM, CB",18,243,84
215441,S. Guirassy,ST,118,22,87
253727,L. Provod,"CAM, CM, LM",12,266,78
220502,M. Zaccagni,"LM, LW",27,46,84
208461,M. de Roon,"CM, CDM",34,39,81
215449,R. Skov,"LB, RB, RM, LM",13,1831,74
235944,Brais Méndez,"CM, RM, CAM",45,457,81
223697,R. Gosens,"LB, LM",21,110374,80
226271,Fabián Ruiz,"CM, CDM",45,73,85
234741,G. Hamer,"LM, CM, LW",34,1794,77
220697,J. Maddison,"CM, CAM",14,18,84
190765,P. Groß,"CDM, CM",21,22,80
183512,Yuri Berchiche,"LB, LM",45,448,79
209889,R. Guerreiro,"LB, CM, RB, LM",38,21,80
225375,K. Laimer,"RB, CDM, CM, RM",4,21,82
189332,Jordi Alba,LB,45,112893,78
247972,D. Olaru,"CM, CAM",39,100761,73
260247,M. Rogers,"CAM, RM, LM, CM",14,2,82
208418,Y. Carrasco,"LW, LM",7,111674,81
271421,D. Doué,"RW, LW, CM, RM",18,73,85
228093,M. Thuram,ST,18,44,85
236703,D. Raum,"LB, LM",21,112172,82
241651,V. Gyökeres,ST,46,1,87
259913,G. Sudakov,"CAM, CM, CDM",49,234,80
212523,Anderson Talisca,"CAM, ST, RW, CM",54,326,81
272500,C. Baleba,"CDM, CM",103,1808,81
212207,N. Stanciu,"CM, CAM",39,110556,77
245367,X. Simons,"CAM, LM, ST",34,18,84
201389,C. Biraghi,"LB, LM",27,54,78
199503,G. Xhaka,"CDM, CM",47,106,85
211110,P. Dybala,"CAM, ST",52,52,86
227796,C. Pulisic,"RW, RM, CAM",95,47,84
204539,L. Advíncula,"RB, RM",59,1877,75
208722,S. Mané,"LM, RM, ST, LW",136,112139,83
216201,Iñaki Williams,"RM, ST, RW",117,448,83
256688,C. Puertas,"CAM, CM",45,38,78
239093,J. Clauss,"RB, RM",18,72,80
260908,M. Kerkez,"LB, LM",23,9,82
250723,K. Koné,CM,18,52,79
244309,T. Teuma,"CAM, CM",32,379,75
259694,Mingueza,"RB, RM, LM",45,450,80
200104,H. Son,"LW, ST, LM",167,112996,85
215914,N. Kanté,"CDM, CM",18,607,85
188377,K. Walker,"RB, RM",14,1796,79
189513,Parejo,"CM, CDM",45,483,82
240734,M. O'Riley,"CAM, CM",13,219,78
241084,L. Díaz,"LM, LW, ST",56,21,85
225309,N. Amiri,"CM, CAM",21,169,81
207410,M. Kovačić,"CM, CDM, CAM",10,10,83
236657,F. Ugrinić,"CM, CAM, CDM",47,461,75
224574,O. Pineda,"CAM, CM, RB",83,278,77
207439,L. Paredes,"CM, CDM",52,1877,78
237692,P. Foden,"RW, CM, LW, RM",14,10,85
253124,Matheus Nunes,"RB, CM, RM",38,10,79
186942,İ. Gündoğan,"CM, CDM, CAM",21,325,83
270673,W. Zaïre-Emery,"CM, CDM, CAM",18,73,80
242201,Luis Milla,"CM, CDM",45,1860,79
210602,S. Al Dawsari,"LM, LW",183,605,82
258775,L. Sučić,"CM, CAM",10,457,78
231969,R. Malinovskyi,"CM, CAM, CDM",49,110556,76
242516,C. Gakpo,"LM, LW",34,9,84
241811,Sergio Gómez,"LM, CM, LB",45,457,79
244374,M. Shaparenko,"CM, CAM, CDM",49,101047,78
273018,Andrey Santos,"CM, CDM",54,5,80
259516,Johnny Cardoso,"CDM, CM",95,240,81
221697,O. Watkins,ST,14,2,84
247827,M. Olise,"RM, RW",18,21,86
216150,D. Zappacosta,"LM, RM, LB",27,39,79
183711,J. Henderson,"CDM, CM",14,1925,79
248148,Zubimendi,"CDM, CM",45,1,83
258966,A. Cambiaso,"LB, RB, LM",27,45,79
216267,A. Robertson,"LB, LM",42,9,82
228618,F. Mendy,"LB, LM",18,243,81
237646,D. Muñoz,"RB, RM",56,1799,81
224196,R. Bensebaini,"LB, CB, LM",97,22,79
237520,M. Camara,"CM, CDM",118,393,74
210406,P. Zieliński,CM,37,44,80
235794,E. Eze,"CAM, LW, ST",14,1,83
240243,Matheus Cunha,"CAM, LW, ST",54,11,83
267430,N. Deossa,"CM, CDM, CAM",56,449,75
247103,D. Hancko,"CB, LB, LM",43,240,83
197781,Isco,"CAM, LM, CM",45,449,84
191740,Ander Herrera,"CDM, CM",45,1877,78
205214,Z. Tripić,"RW, LW, RM",36,300,76
222737,Malcom,"CAM, RM, LM, CM",54,605,82
235537,E. Sánchez,"CM, CDM",83,,78
255001,N. Rovella,"CDM, CM",27,46,79
255009,K. Taylor,"CM, CAM",34,245,78
230481,Ronaldo Cabrais,"CAM, RM, CM",54,517,83
268683,M. Folorunsho,"CAM, CM, ST",27,1842,75
213884,R. Christie,"CDM, CM, CAM",42,1943,79
226456,Fornals,"CDM, CM, RM",45,449,79
208618,Lucas Vázquez,"RB, RM",45,32,77
245235,A. Bah,"RB, RM",13,234,78
225663,A. Golovin,"LM, CAM, LW",40,69,79
230183,Gerson Armão,"LB, LM",54,1048,78
212091,Rodinei,"RB, RM",54,280,79
216435,S. Lobotka,"CM, CDM",43,48,83
229261,D. Zakaria,"CDM, CM",47,69,82
232244,S. Ascacíbar,"CDM, CM",52,101083,78
241508,M. Damsgaard,"CAM, CM",13,1925,80
225126,E. Skhiri,"CDM, CM",145,1824,80
210047,F. Schär,CB,47,13,82
247819,N. Schlotterbeck,CB,21,22,85
158023,L. Messi,"RW, ST, CAM, RM",52,112893,86
193352,R. Rodríguez,"LB, CB, LM",47,449,74
226162,E. Buendía,"CAM, LM, RM, CM",52,2,77
176580,L. Suárez,"ST, CAM",60,112893,79
242964,A. Gordon,"LW, RW, LM",14,13,83
213565,T. Lemar,"CM, LM",18,110062,77
203376,V. van Dijk,CB,34,9,90
231318,R. Perraud,"LB, LM",18,65,74
242434,C. Jones,"CAM, CM, CDM",14,9,80
223273,M. Pašalić,"CM, CAM",10,39,80
230965,N. Nández,"CM, RB, RM, CAM",60,112391,76
205157,Ruiz de Galarreta,"CDM, CM",45,448,80
240507,A. Gomes,"CAM, CM, CDM",14,219,76
223154,O. Tufan,"CDM, CAM, ST, CM",48,436,73
272874,A. Engels,"CM, CDM",7,78,75
259583,D. Udogie,LB,27,18,80
241509,Mauro Júnior,"LB, CM, RB, LM",54,247,79
235152,F. Kadıoğlu,"RB, LB, RM",48,1808,79
245138,G. Galoppo,"CM, CAM",52,1876,74
252060,T. Pobega,"CM, CDM",27,189,74
243627,Y. Adli,"CDM, CM",18,111674,78
213991,J. Lerma,"CDM, CM, CB",56,1799,77
240709,R. Baku,"RM, RB, RW",21,112172,78
234505,Evander,"CAM, CM, ST",54,113149,79
244261,L. Majer,"CM, CAM, RM",10,175,78
256675,O. Marmoush,"ST, CAM, LW",111,10,84
236477,A. Claude-Maurice,"CAM, CM, LW",18,100409,77
227535,R. Bentancur,"CDM, CM",60,18,80
254579,L. Da Cunha,"CDM, CM, CAM",18,1745,74
230786,Pepelu,"CM, CDM",45,461,77
227813,O. Zinchenko,LB,49,14,77
232711,J. Stage,"CM, CDM",13,38,78
241496,T. Weah,"RM, RB",95,219,77
225403,İ. Kahveci,"RW, CAM, CM, RM",48,326,78
239301,L. Martínez,CB,52,11,81
195864,P. Pogba,"CM, CDM, CAM",18,69,79
214047,M. Uribe,"CM, CDM",56,101100,76
209989,T. Partey,"CDM, CM, RB",117,483,83
251573,Renan Lodi,"LB, LM",54,605,78
220659,J. Brownhill,"CDM, CM, CAM",14,111674,76
235008,L. Robertone,"CM, CDM",52,1861,72
227647,M. Mittelstädt,"LB, LM",21,36,82
251294,Guga Rodrigues,"CM, LM, CAM",38,111768,74
211688,Gayà,"LB, LM",45,461,81
229188,V. Pavlidis,"ST, CAM",22,234,82
216700,M. Meza,"CM, LW, RW, LM",52,1876,75
221053,E. Gómez,"LB, LM",52,101088,73
266127,L. Hall,LB,14,13,80
234153,Carlos Soler,"CM, CAM",45,457,77
193198,N. Gudelj,"CB, CDM",51,481,77
229659,B. Heynen,"CDM, CM, CAM",7,673,78
193082,J. Cuadrado,"RM, RB, RW",56,110738,76
20801,Cristiano Ronaldo,ST,38,112139,85
233029,R. Aliendro,"CM, CDM, CB",52,101088,74
237386,K. Dewsbury-Hall,"CM, CAM, CDM",14,7,77
264330,C. Zafeiris,"CM, CDM",22,266,75
211361,D. Cataldi,"CDM, CM",27,46,77
230337,Andeson Trigo,"LB, LM, CAM",54,567,77
192318,M. Götze,"CM, CAM, RM, CDM",21,1824,82
212138,P. Frankowski,"RB, RM",37,74,75
212228,I. Toney,ST,14,112387,81
215071,M. Casco,"LB, RB, LM",52,1876,74
234574,Diogo Dalot,"RB, LB, RM",38,11,79
210896,M. Sanson,"CM, CAM",18,72,76
213516,Ricardo Horta,"CAM, LM, RM, CM",38,1896,81
251470,C. De Ketelaere,"CAM, ST, CM",7,39,82
224371,J. Bowen,"RM, ST, RW",14,19,83
253072,D. Núñez,ST,60,605,79
233965,A. Castro-Montes,"RM, LM, RB, RW",7,31,77
251988,A. Colpani,"RM, CAM, RW",27,111811,78
253149,J. Frimpong,"RB, RM, RW",34,9,83
233731,A. Isak,ST,46,9,88
268889,Álvaro Carreras,"LB, LM",45,243,80
219553,C. Aquino,"CAM, CM",52,110980,77
216409,M. Politano,"RW, RM",27,48,81
236146,Marlon Dorrão,"CDM, CM",54,1719,68
236492,Pedro Díaz,"CM, CDM, CAM",45,480,75
235297,M. Bero,"CM, CAM",43,160,74
208250,A. Bakasetas,"CAM, CM",22,1884,76
251530,Nuno Tavares,"LB, LM",38,46,78
165153,K. Benzema,"ST, CAM",18,607,85
224158,S. Amrabat,"CDM, CM, CB",129,449,78
235973,S. Szymański,"CAM, CM",37,326,78
248872,R. Sánchez,"CM, CDM",58,101085,75
272951,K. Castaño,"CM, CDM",56,1876,77
244791,P. Hrošovský,"CM, CAM, CDM",43,673,76
232770,S. Colombatto,"CDM, CM",52,110827,73
229752,D. Sow,"CM, CDM",47,481,76
257186,A. Jashari,"CDM, CM",47,47,77
243686,Chiquinho,"CM, CAM, RM",38,280,78
264697,M. Amoura,"ST, LW, LM, CAM",97,175,80
230142,Oyarzabal,"ST, LM, LW",45,457,82
230767,Renato Sanches,"CM, CDM",38,1884,75
245630,Y. Fofana,"CDM, CM",18,47,81
245637,G. Rutter,"CAM, ST",18,1808,77
208268,B. Cristante,"CM, CDM",27,52,80
208093,Gerard Moreno,"ST, RW, CAM",45,483,81
206085,J. Murphy,"RW, RM",14,13,81
259868,P. Sarr,"CM, CDM",136,18,79
231340,G. Montiel,"RB, RM",52,1876,78
257771,J. Juranović,"RB, RM",10,1831,75
255742,R. Hatate,"CM, CAM",163,78,76
209499,Fabinho,"CDM, CM",54,607,82
232293,V. Osimhen,ST,133,325,87
236699,S. Lukić,"CDM, CM",51,144,78
245155,M. Kudus,"RW, LW, ST, RM",117,18,80
257191,A. Stach,"CDM, CM, CB",21,8,79
236791,A. Barák,"CM, CAM",12,1837,75
212729,Tozé,"CM, CAM",38,113037,75
206591,M. Weiser,"RB, RM",21,38,78
233556,R. Orsolini,"RM, RW",27,189,82
220837,D. Machado,"LB, LM",56,64,76
224294,L. Cook,"CDM, RB, RM",14,1943,79
236401,N. Mazraoui,"RB, CB, RM",129,11,80
202371,T. Meunier,"RB, RM",7,65,76
213648,P. Højbjerg,"CDM, CM",13,219,82
222390,Unai López,"CM, CDM",45,480,76
241867,Aitor Ruibal,"RB, RM, ST, RW",45,449,77
222509,Dani Ceballos,"CM, CDM",45,243,81
257919,R. Reitz,"CM, CDM",21,23,77
230331,Wagner Laranjo,"CDM, CM",54,383,77
254909,O. Dorley,"CDM, CM",122,266,78
230347,Welington Dano,"LB, LM, LW",54,1035,81
253157,H. Boudaoui,"CM, CDM",97,72,77
248465,I. Maatsen,"LB, LM",34,2,79
275138,L. Camara,"CM, CDM",136,69,77
208135,A. Doucouré,"CAM, CM",126,131798,74
222227,P. Berg,"CDM, CM",36,918,77
222492,L. Sané,"RM, LM, RW",21,325,82
209289,Kévin Rodrigues,"LB, LM",38,110776,75
236480,Y. Bissouma,"CDM, CM",126,18,78
207865,Marquinhos,CB,54,73,87
212814,João Mário,"LM, RM, CM, LW",38,278,78
269136,K. Mainoo,"CM, CDM",14,11,77
183898,Á. Di María,"RW, RM",52,110580,82
255069,Nico González,"CDM, CM",45,10,79
210324,J. Hofmann,"CAM, ST, CM",21,32,78
251804,S. Dest,"RB, LB, RM",95,247,79
244260,Dani Olmo,"CAM, CM, ST",45,241,85
264240,Gavi,"CM, CAM",45,241,83
243780,Lee Kang In,"RW, CM, RM",167,73,79
239810,N. Raskin,"CDM, CM",7,86,77
220876,F. Honorat,"RM, RW, RB",18,23,80
190674,B. André,"CDM, CM",18,65,80
246923,J. Ramsey,"LM, LW",14,13,78
251566,Gabriel Martinelli,"LW, LM",54,1,81
242641,R. Aït-Nouri,"LB, LM",97,10,81
233195,X. Schlager,"CDM, CM",4,112172,80
242444,João Félix,"CAM, LW, LM, ST",38,112139,79
80170,Wesley,"RB, RM",54,52,77
213693,J. Rothwell,"CDM, CM",14,86,74
203483,D. Klaassen,"CM, CDM",34,245,77
236830,Z. Youssouf,"CDM, CM, CB",214,112390,77
272449,Pablo Barrios,"CM, CDM",45,240,82
235663,G. Til,"CAM, CM",34,247,77
242577,R. Faivre,"RM, RW",18,112393,76
231591,Javi Galán,"LB, LM",45,240,80
200155,H. Vanaken,"CAM, CM",7,231,80
205686,T. Savanier,"CAM, CM",18,70,75
237942,P. Estupiñán,"LB, LM",57,47,79
202884,L. Spinazzola,"LB, LM",27,48,78
266436,Javi Guerra,"CM, CDM",45,461,77
255475,Antony,"RW, RM",54,449,81
233738,Zubeldia,CB,45,457,78
234023,Éder Aldralho,"RM, CAM, RW",54,569,72
184392,M. Darmian,"RB, CB, RM",27,44,81
230258,Rosival Dourado,"CDM, CM, CAM",54,1041,81
218745,O. Ntcham,"CDM, CM, CAM",103,748,73
241095,N. Vlašić,"CAM, LW, RW, CM",10,54,79
234983,Q. Laçi,"CM, CAM, CDM",1,101037,74
278773,M. Lewis-Skelly,"LB, CM",14,1,78
216320,S. Fofana,"CM, CDM, CAM",108,74,77
205569,J. Ward-Prowse,"CM, CDM, CAM, CB",14,19,77
178562,É. Banega,"CM, CDM, CAM",52,110396,77
236441,F. Bustos,"RB, RM",52,1876,76
242087,H. Morita,"CM, CDM",163,237,79
271057,Gustavo Sá,"CAM, CM",38,112809,74
260599,A. Varela,"CDM, CM",52,236,79
202024,R. Freuler,"CDM, CM",47,189,81
255565,K. Mitoma,"LM, LW",163,1808,82
190059,S. Zuber,"ST, CAM, LM",47,894,74
203535,T. Vilhena,"CM, CDM, CAM",34,1884,72
202556,M. Depay,"ST, LW, CAM",34,,81
192629,Iago Aspas,"RW, ST, RM",45,450,83
224656,O. Aina,"RB, LB, RM",133,14,80
228245,M. Wanitzek,"CM, LM, CAM",21,1832,76
231102,L. Blas,"RM, RW, CAM",18,74,77
204485,R. Mahrez,"RM, RW",97,112387,84
204525,Iñigo Martínez,CB,45,112139,85
243631,M. Camara,"CM, CAM",18,74,78
212194,J. Brandt,"CAM, CM",21,22,83
216354,A. Kramarić,"CAM, CM",10,10029,81
241486,J. Koundé,"RB, CB, RM",18,241,87
226807,C. Roldan,"CDM, RM, CM, RW",95,111144,74
244728,S. Steijn,"CAM, CM",34,246,78
253177,Y. Musah,"CM, CDM, RM, CAM",95,39,74
230020,P. Lees-Melou,"CDM, CM",18,111817,78
247028,A. Král,"CM, CAM",12,1831,74
229167,M. Rashica,"RM, LM, RW",219,327,76
213296,N. Bentaleb,"CDM, CM",97,65,77
233084,N. Molina,"RB, RM",52,240,79
208787,A. Thomasson,"CM, CAM",18,64,77
213655,A. Iwobi,"LM, RM, LW",133,144,80
212404,F. Bernardeschi,"RM, ST, RW",27,189,77
215798,M. Cornet,"LM, ST, LW",108,110556,74
210935,D. Berardi,"RW, RM",27,111974,82
231943,Richarlison,"ST, LW, LM",54,18,78
205070,Portu,"RM, LM, RW",45,110062,76
232730,D. Kamada,"CM, CAM",163,1799,77
205201,O. Yokuşlu,"CDM, CM, CB",48,436,76
205988,L. Shaw,"CB, LB, LM",14,11,79
258746,M. Braida,"LM, LB",52,1877,76
273906,Renato Veiga,"CB, CDM",38,483,76
256516,Nico Williams,"LM, RM, LW",45,448,86
244788,P. Bucha,"CM, CDM, CAM",12,113149,75
268896,H. Larsson,"CM, CDM",46,1824,78
209780,S. Schrijvers,"CM, CAM, CDM",7,100087,74
224885,Guilherme Sityá,"LB, LM",54,101033,76
206517,J. Grealish,"LW, LM",14,7,80
238794,Vini Jr.,"LW, ST, LM",54,243,89
260813,G. Kochorashvili,"CM, CDM, LM, CAM",20,237,74
237034,Cucho,"ST, CAM",56,449,78
248165,A. Rațiu,"RB, RM",39,480,79
233064,M. Mount,"CAM, CM, RW",14,11,77
257711,R. Calafiori,"LB, CB",27,1,78
235790,K. Havertz,"ST, CM, CAM",21,1,82
235813,R. Marin,"CM, CDM",39,278,74
252794,Adrián Bernabé,"CDM, CM",45,50,74
235456,J. Bellegarde,"CAM, CM",80,110,75
221125,S. Driussi,"ST, CAM, CM",52,1876,77
224031,A. Marušić,"RB, LB, RM",15,46,78
228179,A. Castro,"LM, CM, LW",52,101083,73
223874,V. Rongier,"CDM, CM",18,74,79
234906,H. Aouar,"CAM, CM",97,607,77
211147,V. Lazaro,"RM, LM, LB, RB",4,54,76
200145,Casemiro,"CDM, CM",54,11,80
248793,M. Wieffer,"CDM, CM",34,1808,78
279604,Jauregizar,"CM, CDM",45,448,78
250959,A. Stiller,"CDM, CM",21,36,83
216464,A. Browne,"CM, CAM",25,12,72
245054,Lee Dong Kyeong,"CAM, ST, CM",167,2055,75
221000,B. Ndiaye,"CDM, CM",136,110776,74
233301,R. Kristensen,"RB, RM, CB",13,1824,79
257980,D. Ndoye,"LM, RM, LW",47,14,79
228302,Pedraza,"LB, LM",45,483,75
229348,A. Robinson,"LB, LM",95,144,82
189596,T. Müller,"CAM, ST, RM",21,101112,80
252064,L. Krejčí,"CB, CDM",12,110,78
230065,S. Serdar,"CM, CDM",21,206,76
188350,M. Reus,"CAM, ST, CM",21,697,79
219174,R. Carrera,"CM, LM, RM, LW",52,110395,74
220746,A. Živković,"RM, RW, LW",51,393,78
228579,B. Henrichs,"RB, RM, LB",21,112172,80
212491,A. Masuaku,"LB, LM",110,106,75
263439,Paulo Bernardo,CM,38,78,73
205855,M. Livaja,"ST, CAM",10,263,79
193061,R. Pereyra,"CM, CAM",52,278,76
244778,Trincão,"CAM, RM, RW, ST",38,237,82
258171,Hannibal,"CM, CAM",145,1796,74
238072,E. Löwen,"CM, CDM, CAM, CB",21,113018,74
220414,Diego Rico,"LB, LM",45,1860,77
212269,R. Bazoer,"CB, CDM",34,101033,74
238463,A. Haidara,"CM, CDM",126,112172,77
252143,Daniel Bragança,"CM, CDM, CAM",38,237,78
214026,J. Mojica,"LB, LM",56,453,78
262925,A. Zorgane,"CDM, CM",97,2014,78
251690,J. Rudoni,"CAM, CM",14,1800,74
246646,M. Caqueret,"CM, CDM",18,1745,77
200094,M. Ozdoev,"CM, CDM",40,393,74
224425,M. Wolf,"RB, RM",21,100409,75
235467,M. Moreno,"CAM, LM, ST, CM",52,110395,78
260823,N. Fagioli,"CM, CDM, CB",27,110374,77
209888,C. Goodwin,"LM, RM, LW",195,111393,73
221671,Lee Jae Sung,"CAM, CM",167,169,77
239380,N. Lang,"LW, LM",34,48,80
241707,P. Gueye,"CM, CDM",136,483,78
239778,J. Moder,"CM, CAM, CDM",37,246,75
222148,O. Duda,"CM, CDM",43,112096,75
236764,A. Tanaka,"CDM, CM",163,8,76
230666,Gabriel Jesus,"ST, CAM",54,1,80
231184,Guruzeta,ST,45,448,79
237329,J. Willock,"CM, CAM",14,13,76
275298,A. Pavlović,"CDM, CM",21,21,79
227528,B. Romero,ST,52,101088,74
273463,João Gomes,"CDM, CM",54,110,78
259480,I. Saibari,"CAM, CM",129,247,79
224423,M. Wittek,"LB, LM, LW",21,160,73
225782,A. Maitland-Niles,"RB, RM, RW",14,66,77
237819,N. Domínguez,"CDM, CM",52,14,79
210736,Emerson,"LB, LM",27,219,77
203980,K. Fortounis,"CAM, ST, RW, CM",22,112883,80
251942,Costinha,"RB, RM",38,280,75
244270,N. Moro,"CDM, CM",10,189,75
226370,André Horta,"CM, CAM",38,1861,75
219985,M. Vecino,"CM, CDM",60,46,77
270964,J. Bellingham,"CM, CDM, CAM",14,22,74
245371,T. Almada,"CAM, CM",52,240,79
266374,M. Ryneš,"LM, LB, LW",12,267,73
237712,V. Castellanos,ST,52,46,80
225951,D. Bouanga,"LW, ST, LM",115,112996,79
229862,Edu Expósito,"CAM, CM, CDM",45,452,75
