Player_id,Nationality_id,nation_position,nation_jersey
231318,18,,
242434,14,RDM,17
223273,10,SUB,15
230965,60,,
205157,45,,
240507,14,,
223154,48,,
272874,7,,
259583,27,,
241509,54,,
235152,48,,
245138,52,,
252060,27,,
243627,18,,
213991,56,,
240709,21,,
234505,54,,
244261,10,,
256675,111,,
236477,18,,
227535,60,,
254579,18,,
230786,45,,
227813,49,SUB,17
232711,13,,
241496,95,RM,21
225403,48,,
239301,52,LCB,25
195864,18,,
214047,56,,
209989,117,RDM,18
251573,54,,
220659,14,,
235008,52,,
227647,21,SUB,18
251294,38,,
211688,45,,
229188,22,,
216700,52,,
221053,52,,
266127,14,,
234153,45,,
193198,51,,
229659,7,,
193082,56,,
20801,38,ST,7
233029,52,,
237386,14,,
264330,22,,
211361,27,,
230337,54,,
192318,21,,
212138,37,RM,19
212228,14,,
215071,52,,
234574,38,RB,5
210896,18,,
213516,38,,
251470,7,,
224371,14,SUB,20
253072,60,,
233965,7,,
251988,27,,
253149,34,RW,12
233731,46,RS,9
268889,45,,
219553,52,,
216409,27,RM,7
236146,54,,
236492,45,,
235297,43,,
208250,22,,
251530,38,,
165153,18,,
224158,129,LDM,4
235973,37,CAM,20
248872,58,,
272951,56,,
244791,43,,
232770,52,,
229752,47,,
257186,47,,
243686,38,,
264697,97,,
230142,45,ST,21
230767,38,,
245630,18,,
245637,18,,
208268,27,,
208093,45,,
206085,14,,
259868,136,,
231340,52,SUB,4
257771,10,SUB,22
255742,163,,
209499,54,,
232293,133,,
236699,51,,
245155,117,ST,20
257191,21,,
236791,12,,
212729,38,,
206591,21,,
233556,27,SUB,17
220837,56,,
224294,14,,
236401,129,SUB,3
202371,7,,
213648,13,LDM,23
222390,45,,
241867,45,,
222509,45,,
257919,21,,
230331,54,,
254909,122,,
230347,54,,
253157,97,,
248465,34,,
275138,136,,
208135,126,,
222227,36,SUB,6
222492,21,,
209289,38,,
236480,126,,
207865,54,,
212814,38,,
269136,14,,
183898,52,,
255069,45,,
210324,21,,
251804,95,RB,2
244260,45,SUB,10
264240,45,,
243780,167,,
239810,7,,
220876,18,,
190674,18,,
246923,14,,
251566,54,,
242641,97,,
233195,4,,
242444,38,SUB,11
80170,54,,
213693,14,,
203483,34,,
236830,214,,
272449,45,,
235663,34,,
242577,18,,
231591,45,,
200155,7,,
205686,18,,
237942,57,,
202884,27,,
266436,45,,
255475,54,,
233738,45,,
234023,54,,
184392,27,,
230258,54,,
218745,103,,
241095,10,SUB,13
234983,1,,
278773,14,LB,23
216320,108,,
205569,14,,
178562,52,,
236441,52,,
242087,163,,
271057,38,,
260599,52,,
202024,47,,
255565,163,,
190059,47,,
203535,34,,
202556,34,ST,10
192629,45,,
224656,133,,
228245,21,,
231102,18,,
204485,97,,
204525,45,,
243631,18,,
212194,21,,
216354,10,RES,9
241486,18,RB,5
226807,95,,
244728,34,RES,26
253177,95,SUB,6
230020,18,,
247028,12,SUB,15
229167,219,,
213296,97,,
233084,52,RB,26
208787,18,,
213655,133,,
212404,27,,
215798,108,,
210935,27,,
231943,54,,
205070,45,,
232730,163,,
205201,48,,
205988,14,,
258746,52,,
273906,38,SUB,13
256516,45,LM,17
244788,12,,
268896,46,LCM,16
209780,7,,
224885,54,,
206517,14,,
238794,54,,
260813,20,,
237034,56,,
248165,39,RB,2
233064,14,,
257711,27,LCB,13
235790,21,,
235813,39,RDM,18
252794,45,,
235456,80,,
221125,52,,
224031,15,,
228179,52,,
223874,18,,
234906,97,,
211147,4,,
200145,54,,
248793,34,,
279604,45,,
250959,21,SUB,16
216464,25,,
245054,167,,
221000,136,,
233301,13,RB,13
257980,47,,
228302,45,,
229348,95,LB,5
189596,21,,
252064,12,LCB,18
230065,21,,
188350,21,,
219174,52,,
220746,51,,
228579,21,,
212491,110,,
263439,38,,
205855,10,,
193061,52,,
244778,38,SUB,16
258171,145,,
238072,21,,
220414,45,,
212269,34,,
238463,126,,
252143,38,,
214026,56,,
262925,97,,
251690,14,,
246646,18,,
200094,40,,
224425,21,,
235467,52,,
260823,27,,
209888,195,,
221671,167,,
239380,34,SUB,17
241707,136,,
239778,37,SUB,15
222148,43,,
236764,163,,
230666,54,,
231184,45,,
237329,14,,
275298,21,,
227528,52,,
273463,54,,
259480,129,SUB,11
224423,21,,
225782,14,,
237819,52,,
210736,27,,
203980,22,,
251942,38,,
244270,10,SUB,7
226370,38,,
219985,60,,
270964,14,,
245371,52,,
266374,12,LB,3
237712,52,,
225951,115,,
229862,45,,
208364,98,,
201455,105,,
241461,45,SUB,11
250941,21,,
212045,13,,
257876,4,,
234112,54,,
206467,18,,
255878,60,,
228520,52,,
259789,52,,
229391,38,SUB,6
235805,27,,
232223,22,,
193348,47,,
230234,54,,
256107,70,,
207494,14,,
243606,14,,
205678,8,,
242380,70,,
239361,34,,
240753,97,,
258714,27,,
73374,133,,
225953,34,,
205531,27,,
268534,18,,
206113,21,SUB,20
230437,54,,
204688,4,,
229788,45,,
248053,58,,
192505,7,,
229891,36,RB,14
241721,38,RES,17
231227,21,,
152908,14,,
209236,182,LDM,18
227174,37,SUB,2
229984,14,,
243812,54,,
263781,54,,
199792,13,,
263041,4,,
226491,42,SUB,6
251615,38,,
261616,18,,
190815,34,,
262525,42,,
191627,7,,
239028,127,,
253109,34,,
230899,133,,
240130,54,,
214040,56,,
226376,58,,
233061,38,,
244874,27,,
199564,45,,
205452,21,RCB,2
221363,34,,
209620,117,,
253396,52,,
247030,12,,
198657,36,,
253473,27,RES,24
243282,14,,
219789,126,,
246928,45,,
215998,52,,
254159,23,SUB,18
253908,52,,
239613,27,,
272926,46,RCM,7
204105,18,,
244622,45,,
235926,52,,
205726,60,,
226517,8,,
216036,52,,
212476,45,,
208670,129,RM,7
237383,27,RCB,21
186190,34,,
252802,108,,
232839,47,,
274915,136,,
253162,27,,
190972,52,,
238235,36,,
211378,195,,
262842,10,CAM,16
231390,38,,
226790,133,,
237043,83,RW,25
238067,27,,
210697,13,SUB,15
262411,38,,
193301,18,,
244287,22,,
212096,27,,
216475,45,,
225439,27,,
259240,14,,
235997,45,,
216385,58,,
184941,55,,
258683,51,,
243580,7,,
237239,19,,
244205,52,,
232440,54,,
246885,52,,
246147,14,,
258976,27,,
204970,18,,
256948,22,,
255925,52,,
209846,21,,
277439,49,,
251852,21,SUB,14
242664,7,,
193283,13,,
212501,7,,
224030,18,,
232999,95,SUB,4
205633,52,,
270670,97,,
230250,54,,
260466,48,,
244399,18,,
221908,42,,
208920,34,SUB,5
235374,27,,
255928,108,,
205566,45,,
230241,54,,
266097,130,,
259716,46,LM,2
244634,47,,
207790,48,,
215270,3,,
172522,13,,
229723,13,,
241856,45,,
263617,45,,
213242,18,,
244889,7,,
230384,54,,
271121,34,,
232498,45,,
198451,45,,
204612,36,,
254789,34,,
257866,52,,
254796,14,,
203864,52,,
208480,213,,
203362,36,,
228708,52,,
233585,54,,
277179,45,SUB,25
216547,38,,
226537,34,,
190199,45,,
275976,26,,
260876,13,,
277283,14,,
230184,54,,
211256,52,LB,3
239977,21,,
243586,129,SUB,20
173030,52,,
228595,21,,
226045,83,LB,23
246297,97,,
230431,54,,
244257,21,RES,25
245058,20,,
236629,108,,
202078,95,,
242534,61,,
253306,60,,
192451,25,,
234457,133,,
230417,54,,
258371,45,,
241236,117,SUB,25
253287,60,,
237681,163,,
264309,48,,
220093,34,,
262088,24,SUB,8
264652,18,SUB,20
213209,95,,
244973,83,LCM,14
199189,14,,
208919,42,SUB,20
232487,163,,
271400,54,,
226096,54,,
200759,117,,
236883,24,RM,18
230239,54,,
192636,38,,
214436,55,,
232905,163,,
215531,48,,
226797,52,,
257290,38,,
220714,13,,
227678,14,RCB,5
224982,27,,
271145,45,,
236075,54,,
245035,18,,
236898,47,,
251011,45,,
229010,129,RES,15
246685,14,,
258208,12,SUB,7
204497,4,,
245253,31,,
254551,20,,
213613,46,,
241852,18,,
254142,198,,
231677,14,LW,11
255487,97,,
226110,108,,
234943,21,,
245209,12,,
248050,14,,
211748,21,,
242725,36,SUB,18
235883,14,,
234236,12,SUB,10
245538,163,,
248166,36,SUB,23
239482,54,,
234171,23,RM,14
225475,54,,
268756,27,,
219951,46,RES,10
224309,45,,
189271,18,,
257400,46,RES,6
259233,118,,
206006,19,,
226508,42,,
229343,54,,
193254,4,,
252935,60,,
257057,7,,
255074,49,,
246430,51,,
236987,18,,
243646,46,,
270039,7,,
262118,14,SUB,21
259307,18,,
241390,19,,
214006,56,,
268802,27,,
212245,21,,
261143,10,,
204838,83,ST,9
210739,13,,
245597,45,,
275353,129,,
251116,12,CB,4
243249,34,,
228151,25,RCM,6
207421,7,,
246113,45,,
237937,36,,
237477,14,,
273883,27,,
232411,18,,
236556,103,,
236822,46,LCB,4
238616,38,LM,20
227884,133,,
230977,58,,
240451,21,,
196432,52,,
234579,83,RES,16
256632,54,,
224394,38,,
251805,34,SUB,3
232639,163,,
226789,18,,
236792,12,LCM,22
259075,54,,
195365,44,,
240740,14,,
210537,47,,
236668,52,,
235167,21,,
195033,195,,
239373,34,,
220175,103,,
162347,38,,
211504,14,,
258890,133,,
263287,43,,
236920,34,RES,19
215193,52,,
217036,45,,
245461,52,,
202489,27,,
236045,130,,
205343,108,,
236632,54,,
223105,52,,
146562,45,,
231044,133,,
210831,7,,
222357,47,,
244176,21,SUB,13
260593,52,,
252440,27,,
278349,45,LCB,5
230225,54,,
181872,55,,
220793,56,,
226431,38,,
237183,58,,
237841,87,,
205369,7,,
224841,160,,
252027,7,,
220834,45,,
220075,183,,
278016,54,,
268804,45,,
221969,51,,
186146,14,,
270633,34,,
228941,38,,
264293,136,,
243593,18,,
244108,167,,
235945,45,,
233178,21,,
204542,59,,
213301,4,,
190813,27,,
257470,46,RM,11
216549,36,RW,7
270068,54,,
233478,44,,
257345,8,,
256341,45,,
240992,52,,
235389,83,SUB,8
244373,49,SUB,24
243657,14,,
272350,52,,
225523,45,,
199422,34,,
232446,17,LDM,14
240915,45,,
220710,50,,
256903,38,SUB,9
242332,95,,
255654,18,,
227508,45,,
256949,13,,
237496,95,,
234730,18,,
228593,47,,
234742,14,,
255223,129,LM,21
206590,45,,
70419,54,,
203574,14,,
222028,21,,
262745,129,,
237424,167,,
270728,45,,
229528,49,LCB,22
235432,148,,
247729,38,,
217826,14,,
228881,27,,
231447,34,SUB,18
252711,145,,
256051,55,,
210243,38,,
200260,34,,
228946,46,SUB,19
239016,47,,
260523,95,,
231612,18,,
255971,52,,
252909,45,,
265459,14,,
223755,21,,
198164,45,,
238900,8,,
230217,54,,
267594,12,,
77673,10,SUB,17
184432,45,,
258937,45,,
254088,108,,
235407,48,,
204699,58,,
239529,133,,
277954,48,,
262113,37,LM,21
246242,136,,
239368,34,,
205119,60,,
239782,81,,
236461,18,,
243630,70,,
193474,136,,
260592,44,,
212226,39,,
242458,49,ST,11
226677,85,,
253304,60,,
235173,108,,
240040,13,,
253133,21,,
272600,45,,
238058,14,,
234488,13,,
262402,45,,
247861,44,,
243256,49,,
241238,18,,
262500,45,,
242287,52,,
211857,45,,
208830,14,,
255233,43,,
231428,27,,
254262,7,,
225863,18,,
210021,21,,
264298,35,RM,2
237679,18,RES,12
220814,18,SUB,21
227232,18,,
245152,83,SUB,11
265671,45,,
210381,22,,
230625,54,,
234468,52,,
251392,21,,
229906,82,,
253213,22,,
228645,21,,
258601,126,,
230451,54,,
264001,48,,
225629,18,,
197756,117,SUB,9
244369,49,RM,15
240020,38,,
188567,115,,
206516,14,,
229336,47,,
223717,48,,
213798,14,,
237626,103,,
232255,52,,
226627,163,,
236918,13,,
240787,108,,
277427,14,,
269278,58,,
264201,97,,
234824,110,,
208224,22,,
252259,18,,
226157,45,,
229764,45,,
215700,14,,
208535,117,,
252931,10,,
229668,45,,
221001,36,,
191076,24,LCM,7
239978,39,RW,20
259521,45,,
216800,27,,
212213,38,,
233487,195,,
234795,18,,
254817,60,,
207471,52,,
212886,18,,
138412,14,,
200888,38,,
234200,34,,
270857,38,,
246045,52,,
214302,55,,
241187,34,,
221488,95,,
272733,54,,
219759,27,,
207993,8,,
267680,117,,
228010,167,,
70334,60,,
270017,44,,
263620,7,,
247495,45,,
228312,17,RM,8
231416,7,,
198141,45,,
234264,167,,
246814,24,SUB,19
242217,110,,
225853,124,,
236636,18,,
203106,21,,
232595,167,,
230353,54,,
246562,39,SUB,23
233260,83,LW,10
198705,81,,
230201,54,,
225085,108,,
252483,14,,
226662,34,,
74866,54,,
238227,136,,
263578,45,,
240797,18,,
271019,27,,
261299,14,,
269276,27,,
262880,133,,
236276,34,,
240916,4,,
230423,54,,
241184,207,,
247131,60,,
227689,46,,
240017,13,SUB,11
234678,13,LB,5
241602,56,,
251076,39,LDM,8
216270,14,,
219862,56,,
220139,25,SUB,7
227055,38,,
236786,18,,
236295,45,,
226093,42,ST,10
252042,54,,
257972,13,,
252376,25,LCM,8
253952,52,,
200302,42,,
243312,45,,
277643,45,RM,19
251132,52,,
235781,45,,
247328,45,,
221992,83,SUB,18
230206,54,,
250961,34,,
204125,12,SUB,25
252290,27,,
232099,51,,
239808,12,,
259265,129,,
264388,45,,
225539,14,SUB,19
246800,70,,
243000,39,LB,11
223816,60,,
240976,60,,
233053,8,,
229472,21,,
254887,57,,
227503,13,,
234205,163,,
211177,24,RCM,21
220940,14,,
229905,48,,
200746,14,,
258090,52,,
235569,18,,
255566,38,,
227928,38,RES,2
254822,10,,
244380,49,LB,16
238004,24,SUB,10
271573,27,,
259584,27,,
230189,54,,
213597,55,,
231005,25,RM,20
239732,37,,
192955,37,,
212678,46,,
241607,52,,
260815,45,,
251626,34,,
228092,36,CDM,8
225071,14,,
258881,133,,
259197,136,,
279173,52,RES,17
253322,57,,
234930,38,,
224179,45,,
201153,45,SUB,7
220609,52,,
242916,163,,
230381,54,,
236298,56,,
275985,45,,
238363,181,,
277840,26,,
237670,38,,
225147,50,RB,14
270208,14,,
199042,55,,
219576,52,,
212187,21,,
236259,59,,
273694,54,,
237640,1,,
235636,13,,
212118,14,,
215199,52,,
224415,45,,
246434,46,,
252066,25,RAM,11
248266,18,,
230348,54,,
246055,57,,
251438,38,,
240690,52,LW,15
189280,14,,
237960,119,,
229880,110,,
265766,60,,
211241,45,,
223017,48,,
211022,45,,
71259,12,SUB,21
239512,34,,
246708,22,,
201399,52,,
231614,21,,
244941,4,,
203486,7,,
216580,54,,
215074,52,,
226853,34,,
213814,27,,
233529,57,,
216158,47,,
241004,60,,
209523,58,,
252544,48,,
188803,54,,
257167,13,,
232104,50,SUB,20
269509,12,,
253399,36,,
252383,97,,
70888,26,,
252144,38,,
225266,36,,
228352,182,LM,7
257289,18,,
239892,48,,
276278,10,SUB,21
243032,45,,
243354,21,,
242602,21,,
225206,21,,
259788,52,,
228819,52,,
270559,38,,
230371,54,,
224490,48,,
207956,110,,
189805,34,,
208295,129,LCB,6
270013,21,,
271562,54,,
231887,48,,
230665,54,,
223779,37,,
217153,155,,
211269,52,,
237936,36,SUB,19
225667,14,,
199323,12,,
279769,38,,
247263,101,,
246258,52,,
234740,129,,
225555,48,,
258580,48,,
238896,54,,
205391,18,,
207441,52,,
205431,21,SUB,19
225174,18,,
269230,110,,
277432,13,SUB,7
229575,52,,
261082,52,,
240097,14,,
185068,42,,
248573,18,,
241937,129,,
211274,52,,
213654,17,RDM,6
239817,18,,
222709,54,,
210423,43,,
256769,18,,
212484,50,,
215556,47,,
262171,27,,
232477,183,,
225872,25,,
229207,45,,
205407,27,,
254048,60,,
228961,52,,
253054,14,,
235149,34,SUB,20
244390,21,,
186537,60,,
225706,59,,
240837,48,,
225478,155,,
216286,13,,
219952,42,,
251189,7,,
258619,18,,
243525,10,,
230216,54,,
240970,52,,
254548,18,,
254566,4,,
73078,163,,
226168,21,,
244114,18,,
223134,48,,
232097,129,,
270046,12,,
264172,45,,
261659,7,,
259356,14,,
235844,83,CDM,4
246606,45,,
229459,52,,
239701,4,,
72354,18,,
252079,45,,
202429,21,,
201417,25,SUB,2
263370,52,,
208621,45,,
224510,52,,
242187,4,,
221467,167,,
242815,4,,
241568,52,,
245158,56,,
206254,8,,
207554,46,,
242633,13,RES,26
230364,54,,
212192,95,,
246762,126,,
238839,14,,
215057,52,,
202282,42,,
240938,54,,
239148,10,,
230219,54,,
234078,7,,
257889,10,SUB,18
229765,45,,
235410,129,ST,19
233630,7,,
251306,14,,
216020,52,,
218339,21,,
238581,47,,
259586,7,,
262937,103,,
230685,48,,
236071,54,,
236610,27,RS,11
210513,56,,
204412,35,SUB,6
241538,92,,
215455,10,,
230564,51,,
227562,43,,
225014,27,,
241925,21,,
260877,45,,
253970,42,,
243223,13,,
220971,118,,
223866,44,,
256402,52,,
222875,110,,
254117,21,LAM,9
242342,52,,
216814,48,,
239119,14,,
198717,108,,
206653,14,,
270913,47,,
230242,54,,
183394,18,,
244836,27,,
256115,51,,
239755,20,,
264862,18,,
259754,48,,
248854,48,,
247093,56,,
246618,12,SUB,9
213345,18,,
251025,45,,
261530,38,,
202652,14,,
237499,129,RES,24
226012,25,LM,3
203502,82,,
220421,108,,
230422,54,,
232490,163,,
240193,219,,
241985,45,,
223302,38,,
234573,38,,
263765,21,,
246871,52,,
182896,61,,
243057,50,LB,3
245622,163,,
217242,163,,
216736,155,,
252324,45,,
237223,95,,
258729,45,,
225204,45,,
143121,52,,
211489,52,,
230440,54,,
199247,45,,
269420,38,,
251756,18,,
231070,52,,
261539,7,,
238767,55,,
256958,38,,
264174,45,,
206594,14,,
274952,13,,
238857,38,,
241428,14,,
229158,34,,
258093,34,,
203581,1,,
237135,54,,
194149,36,,
188268,52,,
239744,18,,
76687,54,,
246444,163,,
258483,14,,
265695,52,,
276451,51,,
272872,12,,
228080,21,,
270072,118,,
236311,10,,
269622,52,,
239704,21,,
179813,60,,
201368,42,SUB,23
221342,52,,
234671,13,,
238277,23,,
242914,163,,
217605,13,,
243478,18,,
240683,34,,
226866,119,,
244050,34,,
237161,14,,
220018,10,,
202201,34,,
253409,140,,
214096,21,,
240988,43,,
205175,37,,
235134,207,,
243350,133,,
264869,18,,
225189,27,,
223197,48,,
242162,36,,
235522,45,,
227622,34,,
235570,107,,
241464,45,,
260923,18,,
224590,18,,
246351,45,,
244895,133,,
209061,46,,
211879,21,,
230824,38,,
213697,35,CB,17
234728,43,,
200713,48,,
275241,12,,
255533,102,,
223790,92,,
226356,97,,
252238,52,,
170320,27,,
241522,13,SUB,19
211575,38,,
195202,42,,
223627,186,,
240273,14,,
244892,129,,
242081,52,,
233959,56,,
262644,28,,
254206,57,,
219908,54,,
257540,21,,
224013,45,,
216380,34,,
266071,163,,
232805,54,,
223597,18,,
226671,52,,
229237,47,,
246402,13,,
268438,52,RES,28
226515,54,,
191202,51,,
241645,13,,
245275,10,,
240673,14,,
219686,54,,
239679,27,,
261188,136,,
252025,18,,
246656,46,SUB,26
214658,46,SUB,18
233092,52,,
263824,183,,
257179,38,LCB,14
265390,34,,
256197,57,,
244472,46,,
242429,198,,
221201,21,,
247832,38,,
269859,7,,
260145,14,,
215616,45,,
238662,37,,
207948,101,,
244318,124,,
243559,45,,
215155,52,,
247679,133,,
242816,45,,
201877,36,,
241833,52,,
212150,21,,
251575,161,,
257502,34,,
240100,27,,
212214,52,,
205054,42,,
231423,7,,
222475,36,LCM,2
197965,38,,
224081,14,,
207733,54,,
226166,18,,
216447,45,,
223871,42,,
230289,54,,
215443,13,,
233884,110,,
237221,52,RES,2
211368,38,,
236457,22,,
254638,36,,
183540,42,,
227835,46,,
217097,61,,
252208,48,,
266844,60,,
256612,54,,
230252,54,,
263279,21,,
217998,56,,
246174,14,,
73895,35,LM,15
212212,21,,
214772,52,,
241928,7,,
236403,108,,
255634,22,,
214944,45,,
224422,108,,
241850,27,LS,9
244428,49,SUB,26
230107,126,,
244197,45,,
208620,112,,
264701,40,,
177413,7,,
239894,126,,
229155,34,,
70471,133,,
233049,14,,
202335,14,,
267626,52,,
264348,129,,
70841,126,,
247771,7,,
232412,116,,
278020,58,,
275468,45,,
219414,56,,
268576,27,,
215332,52,,
246617,45,,
251486,38,,
242271,42,,
262510,45,,
198006,34,,
233851,25,LAM,21
252541,18,,
212099,36,,
192387,27,,
221587,14,,
257208,7,,
231360,186,,
199110,56,,
220621,97,,
247258,117,,
212188,21,,
235243,34,SUB,15
242411,27,,
255471,54,,
224520,14,,
265738,108,,
213777,36,,
260926,21,,
272725,27,,
251994,38,,
259190,136,,
263815,54,,
255125,129,RES,8
216247,110,,
241854,34,,
230349,54,,
254982,18,,
213013,117,,
237871,42,,
257353,18,,
262219,34,,
236108,54,,
178509,18,,
240974,13,,
235353,136,,
217714,95,,
192123,198,,
254120,14,,
207791,13,,
222400,14,,
214990,55,,
243684,55,,
255464,36,,
205551,45,,
230425,54,,
205895,17,,
188537,23,SUB,7
243842,42,,
259714,21,,
217731,45,,
276119,21,,
224411,38,,
180930,8,,
227794,160,,
201955,126,,
199652,7,,
230373,54,,
248550,45,SUB,14
242426,56,,
262929,54,,
230448,54,,
257073,38,,
244542,18,,
189511,45,,
265552,101,,
231777,48,,
237669,27,,
269421,38,,
192366,52,SUB,19
254084,13,,
219797,56,,
255137,57,,
210619,45,,
271296,12,,
254660,21,,
271574,14,,
200689,14,,
79091,23,SUB,17
216820,133,,
273917,27,,
191783,219,,
211784,18,,
247888,27,,
234072,42,SUB,25
267633,38,,
225926,45,,
230286,54,,
219792,18,,
201884,25,RES,26
208054,52,,
221885,21,,
262863,36,LW,20
240359,58,,
244470,12,RB,5
258596,38,,
226877,38,,
211300,18,,
261224,45,,
241788,161,,
263828,38,,
241591,45,,
176571,117,SUB,10
243388,10,,
230601,54,,
262859,14,SUB,14
230888,195,,
236529,56,,
265732,45,,
243731,52,,
230690,47,,
243526,48,,
272712,46,,
241487,95,,
242279,45,,
240744,52,,
223853,45,,
252308,123,,
243608,14,,
242075,95,SUB,26
219812,27,,
235172,38,,
219814,92,,
183256,136,,
238041,34,,
217338,7,,
222467,45,,
264453,34,LB,16
210455,45,,
219953,45,,
230197,54,,
247361,95,SUB,11
214877,36,,
258433,7,,
260272,47,,
259762,13,SUB,17
225733,54,,
271579,27,,
246763,34,,
262642,47,,
225779,14,,
207862,21,,
212218,45,,
198143,45,,
234774,11,,
241953,14,,
222501,7,,
258908,34,RCB,2
250766,47,,
251287,9,,
76704,52,,
189860,45,,
273875,45,,
209886,195,,
206306,18,,
231652,110,,
70903,23,SUB,25
228349,219,,
256261,21,,
202518,4,,
198951,110,,
234035,45,,
237619,14,,
250931,21,,
233795,55,,
246350,18,,
252240,95,,
248175,36,,
205953,54,,
258444,108,,
220348,45,,
187075,56,,
216275,4,,
239861,182,,
237566,36,,
224540,117,,
251421,50,RM,11
226380,167,,
203605,12,,
259680,198,,
196978,14,,
255611,27,RES,25
216194,45,,
252293,136,,
271266,34,,
197031,21,,
244407,45,,
250816,1,,
232156,4,,
202464,14,,
264699,1,,
246014,59,,
259848,61,,
240685,34,,
263227,46,,
225855,18,,
234570,38,,
261204,1,,
277846,52,,
230255,54,,
258698,38,,
261015,60,,
72093,38,,
189615,14,,
74963,136,,
195038,4,,
194794,49,SUB,18
185349,117,RB,3
230936,23,,
241696,52,,
244517,8,,
211513,50,SUB,7
262473,129,,
222542,22,,
238941,44,,
246877,27,,
237184,1,,
253574,53,,
220847,7,,
260282,163,,
254910,163,,
233152,163,,
244486,48,,
241927,52,,
